[2026-05-20 10:01:08.337913] ZERO_DAY | SRC=192.178.54.110 ANOMALY max_z=7.35 [avg_pkt_size=1221.3(z=7.35)]
[2026-05-20 10:01:35.046281] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3501
[2026-05-20 10:01:35.202517] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3595
[2026-05-20 10:01:41.327070] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3781
[2026-05-20 10:01:41.328702] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3781
[2026-05-20 10:01:44.645052] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3773
[2026-05-20 10:01:46.555910] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3773
[2026-05-20 10:01:47.477941] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3779
[2026-05-20 10:01:51.574888] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3787
[2026-05-20 10:02:02.325038] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3788
[2026-05-20 10:02:05.091322] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3776
[2026-05-20 10:02:05.184113] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3773
[2026-05-20 10:02:05.295842] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3779
[2026-05-20 10:02:10.511227] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3780
[2026-05-20 10:02:17.501859] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3781
[2026-05-20 10:02:18.504320] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3781
[2026-05-20 10:02:18.916947] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3782
[2026-05-20 10:02:23.112031] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3783
[2026-05-20 10:02:28.538861] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3780
[2026-05-20 10:02:30.691477] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3782
[2026-05-20 10:02:30.784431] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3780
[2026-05-20 10:02:30.886561] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3764
[2026-05-20 10:02:35.279588] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3760
[2026-05-20 10:02:40.518977] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3771
[2026-05-20 10:02:41.243422] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=88 PPS=3772
[2026-05-20 10:02:43.284840] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3775
[2026-05-20 10:02:51.469282] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3771
[2026-05-20 10:02:58.846640] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3775
[2026-05-20 10:03:01.412015] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3773
[2026-05-20 10:03:04.271172] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3775
[2026-05-20 10:03:05.097061] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3761
[2026-05-20 10:03:12.058275] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3773
[2026-05-20 10:03:17.489971] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3775
[2026-05-20 10:03:24.852985] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3777
[2026-05-20 10:03:27.525930] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3775
[2026-05-20 10:03:33.965182] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3774
[2026-05-20 10:03:35.177815] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3765
[2026-05-20 10:03:35.190802] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3761
[2026-05-20 10:03:40.837781] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=89 PPS=3780
[2026-05-20 10:03:46.745755] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3778
[2026-05-20 10:03:53.495496] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3775
[2026-05-20 10:04:04.284444] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3775
[2026-05-20 10:04:05.164259] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3767
[2026-05-20 10:04:05.306423] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3776
[2026-05-20 10:04:19.439022] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3770
[2026-05-20 10:04:25.274796] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3779
[2026-05-20 10:04:34.436416] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3773
[2026-05-20 10:04:35.207069] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3761
[2026-05-20 10:04:36.744487] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3762
[2026-05-20 10:04:45.656401] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3768
[2026-05-20 10:04:49.749583] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3765
[2026-05-20 10:05:05.210684] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3762
[2026-05-20 10:05:06.851068] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3772
[2026-05-20 10:05:08.589676] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3768
[2026-05-20 10:05:23.239397] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3762
[2026-05-20 10:05:23.332820] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3761
[2026-05-20 10:05:23.443404] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3761
[2026-05-20 10:05:35.113366] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3758
[2026-05-20 10:05:38.791795] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3769
[2026-05-20 10:05:45.763091] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3768
[2026-05-20 10:05:46.684767] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3775
[2026-05-20 10:05:51.192485] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3774
[2026-05-20 10:06:05.115349] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3756
[2026-05-20 10:06:06.960170] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3771
[2026-05-20 10:06:14.437138] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3767
[2026-05-20 10:06:27.747981] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3767
[2026-05-20 10:06:35.115801] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3752
[2026-05-20 10:06:40.138780] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3766
[2026-05-20 10:06:48.431534] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3767
[2026-05-20 10:06:59.288351] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3767
[2026-05-20 10:07:05.124995] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3755
[2026-05-20 10:07:07.887872] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3751
[2026-05-20 10:07:08.667836] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3758
[2026-05-20 10:07:09.852136] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3765
[2026-05-20 10:07:10.035726] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3762
[2026-05-20 10:07:19.859930] DDoS | UDP_DDoS DST=172.20.10.2 SOURCES=91 PPS=3772
[2026-05-20 16:22:53.199256] BRUTE_FORCE | SRC=172.20.10.2 SERVICE=HTTPS PORT=443 ATTEMPTS=50 in 60s
